level,name,accuracy,ci_low,ci_high,count
leaf,causal_consequence_reasoning,0.866223,0.756336,0.963725,62
leaf,duration_estimation,0.102900,0.046227,0.166190,147
leaf,event_aggregation,0.000000,0.000000,0.000000,169
leaf,fo_interaction_recognition,0.181111,0.074931,0.298097,75
leaf,fo_usage_purpose,1.000000,1.000000,1.000000,19
leaf,functional_reasoning,0.962500,0.887500,1.000000,34
leaf,instance_matching,0.184502,0.070129,0.337924,141
leaf,multi_step_reasoning,0.014286,0.000000,0.057500,52
leaf,object_aggregation,0.014005,0.001923,0.032987,403
leaf,object_attributes,0.766667,0.541667,0.975000,27
leaf,object_identification,0.279323,0.222975,0.334144,713
leaf,spatial_localization_camera,0.402472,0.299298,0.490523,490
leaf,spatial_localization_situs,0.693333,0.333333,1.000000,12
leaf,temporal_localization,0.006574,0.002515,0.011874,1605
leaf,temporal_ordering,0.240476,0.097619,0.395238,51
group,aggregation,0.009995,0.000000,0.023238,572
group,complex_reasoning,0.440553,0.280160,0.618876,148
group,event_understanding,0.321401,0.233718,0.413228,145
group,object_recognition,0.331625,0.276291,0.378894,1383
group,temporal_grounding,0.015283,0.009261,0.022016,1752
answer_format,binary,0.211443,0.134789,0.316569,287
answer_format,fo_class,0.230758,0.180286,0.278079,851
answer_format,multiple_choice,0.375295,0.268418,0.472328,468
answer_format,number,0.000000,0.000000,0.000000,481
answer_format,open_ended,0.873939,0.788052,0.945085,201
answer_format,percentage,0.000000,0.000000,0.000000,22
answer_format,time,0.006235,0.002478,0.011173,1690
overall,MEAN,0.155500,0.128750,0.184750,4000
pre_evaluation,SCORE,0.249757,,,5
