level,name,accuracy,ci_low,ci_high,count
leaf,causal_consequence_reasoning,0.8453548085901027,0.6800992063492063,0.9722222222222223,62
leaf,duration_estimation,0.045519480519480515,0.005,0.0942224025974026,147
leaf,event_aggregation,0.06692612398494752,0.01747328678946326,0.13283275772430184,169
leaf,fo_interaction_recognition,0.13944444444444443,0.05,0.24308333333333332,75
leaf,fo_usage_purpose,0.9444444444444444,0.7777777777777778,1.0,19
leaf,functional_reasoning,0.79375,0.58734375,0.96875,34
leaf,instance_matching,0.21401143790849675,0.11310049019607843,0.32549325980392163,141
leaf,multi_step_reasoning,0.2342857142857143,0.1,0.37620238095238095,52
leaf,object_aggregation,0.03579121070500381,0.015320936247660386,0.06031962769031734,403
leaf,object_attributes,0.7833333333333333,0.5666666666666667,0.975,27
leaf,object_identification,0.22782992905337512,0.16349956294795007,0.2942176902036658,713
leaf,spatial_localization_camera,0.5632872569048841,0.4845759658824599,0.6428576693778266,490
leaf,spatial_localization_situs,0.6933333333333334,0.3333333333333333,1.0,12
leaf,temporal_localization,0.0517483637950983,0.037139123993429134,0.06699296854723538,1605
leaf,temporal_ordering,0.35,0.20238095238095238,0.5072023809523809,51
group,aggregation,0.04467532000455075,0.021188017598343684,0.0705996611545215,572
group,complex_reasoning,0.5089014202172096,0.3490389097744361,0.6758787593984962,148
group,event_understanding,0.3233239962651727,0.2317214635854342,0.42319146825396825,145
group,object_recognition,0.3596661347287257,0.32045395402143784,0.4005651283254096,1383
group,temporal_grounding,0.05156124241308535,0.03738617086788017,0.06598187219150584,1752
answer_format,binary,0.2305082994535327,0.16567687999964875,0.31099322696685777,287
answer_format,fo_class,0.18666173546078801,0.11795280592768959,0.25191830600867093,851
answer_format,multiple_choice,0.5875462538970132,0.5045899708734088,0.6670026357770356,468
answer_format,number,0.05186734819473819,0.026677407299048325,0.0787305859276805,481
answer_format,open_ended,0.7142361111111111,0.5917989267676768,0.8229461805555555,201
answer_format,percentage,0.0,0.0,0.0,22
answer_format,time,0.04909761162477194,0.03463454300882562,0.06469798420833654,1690
overall,MEAN,0.18825,0.1665,0.21150000000000002,4000
pre_evaluation,SCORE,0.2817408839955992,,,5
